file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0295_0157_1173499_to_1175879,ཞེ་བོ་ཞེ་བོ་ད་ཨོ་དེ་ལ་ཡོད་བ་ཞེ་བོ་ཞེ་བོ་ ,zhe bo zhe bo da o de la yod ba zhe bo zhe bo _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0295_0157_1173499_to_1175879.wav,STT_NS,3,41,2.38,wav16k/STT_NS_M0295_0157_1173499_to_1175879.wav,ཞེ་བོ་ཞེ་བོ་ད་ཨོ་དེ་ལ་ཡོད་བ་ཞེ་བོ་ཞེ་བོ།
STT_NS_M0308_0306_2262124_to_2264428,ཁག་པོ་འདྲ་བོ་ཆགས་ཀི་འདུག་རཱ། སོ་སོ་སོ་ཨོ་ག་རེ་ལབ་དགོས་རེད།  ,khag po 'dra bo chags ki 'dug rA/_so so so o ga re lab dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0308_0306_2262124_to_2264428.wav,STT_NS,3,60,2.304,wav16k/STT_NS_M0308_0306_2262124_to_2264428.wav,ཁག་པོ་འདྲ་བོ་ཆགས་ཀི་འདུག་རཱ། སོ་སོ་སོ་སོ་ཨོ་ག་རེ་ལབ་དགོས་རེད།
STT_PC0043_0046_263695_to_266447,རྒྱ་ནག་གཞུང་གི་སྐད་ཆ་བཤད་སྟངས་བྱས་པ། བདག་དབང་སྲུང་སྐྱོབ་དོན་དག་ལ་དམག་མི་བཞི་ ,rgya nag gzhung gi skad cha bshad stangs byas pa/_bdag dbang srung skyob don dag la dmag mi bzhi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0043_0046_263695_to_266447.wav,STT_PC,3,77,2.752,wav16k/STT_PC0043_0046_263695_to_266447.wav,རྒྱ་ནག་གཞུང་གི་སྐད་ཆ་བཤད་སྟངས་བྱས། བདག་དབང་སྲུང་སྐྱོབ་དོན་དག་ལ་དམག་མི་བཞི་
STT_NS_M0299_0407_3220468_to_3222476,ཁོ་ཚོ་གསུམ་ཡོད་བ་རྒྱལ་ཁང་ནས་མར་ཕྱི་ལོགས་འགྲོ་ཡི་རེད་ད་ཡོད་བ།  ,kho tsho gsum yod ba rgyal khang nas mar phyi logs 'gro yi red da yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0299_0407_3220468_to_3222476.wav,STT_NS,3,62,2.008,wav16k/STT_NS_M0299_0407_3220468_to_3222476.wav,ཁོ་ཚོ་གསུམ་ཡོད་བ་རྒྱལ་ཁ་ནས་མར་ཕྱི་ལོགས་འགྲོ་ཡི་རེད་ད་ཡོད་བ།
STT_NS_M0337_0451_3094038_to_3096116,དྲྭ་རྒྱ་ནང་ལ་ཚང་མ་ཁོ་ལ་བསྔགས་བརྗོད་འདྲ་བོ་བྱས་བསྡད་ཤག ,drwa rgya nang la tshang ma kho la bsngags brjod 'dra bo byas bsdad shag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0337_0451_3094038_to_3096116.wav,STT_NS,3,54,2.078,wav16k/STT_NS_M0337_0451_3094038_to_3096116.wav,དྲྭ་རྒྱ་ནང་ལ་ཚང་མ་ཁོ་ལ་བསྔགས་བརྗོདའདྲ་བོ་བྱསད་བསྡད་ཤག
STT_CS-L-2011_2012-M_M-D_D-B01_B01-5_5-R_R-01_0130_1000912_to_1006399,ང་ཡི་མཉམ་དུ། ང་ཡི་གྲོགས་མོ་མིང་ལ་སྐལ་བཟང་བཀྲ་ཤིས་ཟེར་གྱི་ཡོད་ཟེར། ཨ་ནས། འདི་ནང།  ,nga yi mnyam du/_nga yi grogs mo ming la skal bzang bkra shis zer gyi yod zer/_a nas/_'di nang/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2011_2012-M_M-D_D-B01_B01-5_5-R_R-01_0130_1000912_to_1006399.wav,STT_CS,3,81,5.487,wav16k/STT_CS-L-2011_2012-M_M-D_D-B01_B01-5_5-R_R-01_0130_1000912_to_1006399.wav,ང་ཅི་མཉམ་དུ་ང་ཡི་གྲོགས་མོའི་མིང་ལ་དྟན་མཆོད་ྐུ་གསུམ་ཟེད་ཀྱི་རེད་ཟེར། ཨ་ནས་འད་ལ།
STT_TT00691_0621_4291460_to_4293572,བློ་སྦྱོང་ཉམས་ལེན་བྱས་པའི་སྟོབས་ཀྱིས།  ,blo sbyong nyams len byas pa'i stobs kyis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00691_0621_4291460_to_4293572.wav,STT_TT,3,39,2.112,wav16k/STT_TT00691_0621_4291460_to_4293572.wav,བློ་སྦྱོང་ཉམས་ལེན་བྱས་པའི་སྟོབས་ཀིས།
STT_TT00691_0478_3338199_to_3341459,བློ་མ་འབྱོངས་པའི་རྟགས་དེ། ག་རེ་ཡོད་རེད། ཨོ།  ,blo ma 'byongs pa'i rtags de/_ga re yod red/_o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00691_0478_3338199_to_3341459.wav,STT_TT,3,45,3.26,wav16k/STT_TT00691_0478_3338199_to_3341459.wav,བློ་མ་སྦྱོངས་པའི་རྟགས་དེ་ག་རེ་ཡོད་རེད། ཨོ།
STT_NS_M0299_0267_1611434_to_1614221,ཁོ་རང་སྤུན་རྒྱ་ཆུང་ང་དེ་ལ་ཡ་ཡུད་རྩི་ཡི་ཡོད་རཱ། སྤུན་རྒྱ་ཆུང་ང་དེས་ཁོ་ལ་ ,kho rang spun rgya chung nga de la ya yud rtsi yi yod rA/_spun rgya chung nga des kho la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0299_0267_1611434_to_1614221.wav,STT_NS,3,72,2.787,wav16k/STT_NS_M0299_0267_1611434_to_1614221.wav,ཁོ་རང་སྤུན་རྒྱ་ཆུང་བ་དེ་ལ་ཡོད་བ་ཡ་ཡུད་བརྩི་གི་ཡོད་རཱ། སྤུན་རྒྱ་ཆུང་བ་དེས་ཁོ་ལ།
STT_PC0086_0056_409934_to_412910,ཟ་ཡ་ཅིག་ཁ་ཚ་ཅན་བཟོ་འདྲ་ཨེ་འདྲས། ཨིམ། སྣུམ་བསྲེགས་བཟོ་འདྲ་ཨེ་འདྲས་ཅིག་མང་པོ་བཟས་སོང་ན། འོ།  ,za ya cig kha tsha can bzo 'dra e 'dras/_im/_snum bsregs bzo 'dra e 'dras cig mang po bzas song na/_'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0086_0056_409934_to_412910.wav,STT_PC,3,91,2.976,wav16k/STT_PC0086_0056_409934_to_412910.wav,ཟ་ཡ་ཅིག་ཁ་ས་ཆན་ཟོལ་ར་ཨེ་འདྲས། སྣུམ་ཀྲག་ཟོལ་ཨེ་འདྲས་ཅིག་མང་པོ་བཟས་སོང་ན།
STT_CS-X-2015-P-D-B03-2-R-01_0054_471117_to_473421,ཏོག་ཙི་སྒུག་ཨ། ཝའཐྀ།  ,tog tsi sgug a/_wa'ath-i/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2015-P-D-B03-2-R-01_0054_471117_to_473421.wav,STT_CS,3,22,2.304,wav16k/STT_CS-X-2015-P-D-B03-2-R-01_0054_471117_to_473421.wav,ཏིག་ཙི་སྒུག་ཨ། ཆྀ།
STT_PC0043_0041_236335_to_238959,རྗེས་ལ་ཡ་ཨེ་ནས་ད་ལྟ་ད་གོ་ལའི་དུས་བབ་ལ་སོགས་པའི་ ,rjes la ya e nas da lta da go la'i dus bab la sogs pa'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0043_0041_236335_to_238959.wav,STT_PC,3,48,2.624,wav16k/STT_PC0043_0041_236335_to_238959.wav,རྗེས་ལ་ཡ་ཨེ་ནས་ད་ལྟ་ད་གོ་ལའི་དུས་བབས་ལ་སོགས་པའི་
STT_NS0056_0055_684564_to_686612,ཧ་ཅང་རྒྱུ་ཕྱུག་པོ་རེད། ཨེ་ནས།  ,ha cang rgyu phyug po red/_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0056_0055_684564_to_686612.wav,STT_NS,3,31,2.048,wav16k/STT_NS0056_0055_684564_to_686612.wav,ཧ་ཅང་རྒྱུ་ཕྱུག་པོ་རེད། ཨེ་ནས།
STT_NS0058_0003_24530_to_26578,ཨ་ལེ་ལོ་རྒྱུས་སུས་བསླབ་ཀི་འདུག་རྒན་ལགས།  ,a le lo rgyus sus bslab ki 'dug rgan lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0058_0003_24530_to_26578.wav,STT_NS,3,41,2.048,wav16k/STT_NS0058_0003_24530_to_26578.wav,ཨ་ལེ་ལོ་རྒྱུས་སུ་བསླབ་ཀྱི་འདུག་རྒན་ལགས།
